concello,nombre
A Coruña,As Lapas
A Coruña,Orzán-Matadero
A Coruña,Oza
A Coruña,Riazor
A Coruña,San Amaro
A Laracha,Caión
A Pobra do Caramiñal,Lombiña-Cabío
Arteixo,A Salsa (Rebipelo)
Arteixo,Barrañán
Arteixo,Combouzas
Arteixo,Porto de Suevos
Arteixo,Sabón
Arteixo,Valcovo
As Pontes de García Rodríguez,Lago das Pontes
Bergondo,Gandarío
Camariñas,Arou
Carballo,Pedra do Sal
Carballo,Razo
Carballo,Saíñas
Dumbría,O Ézaro
Ferrol,A Fragata-O Pareixal
Ferrol,Caranza
Ferrol,Doniños
Ferrol,Ponzos
Ferrol,Esmelle
Ferrol,San Xurxo
Laxe,Laxe
Malpica de Bergantiños,Area Maior
Miño,A Ribeira
Miño,Grande
Miño,Perbes-Andahío
Muros,San Francisco
Oleiros,Bastiagueiro
Oleiros,Espiñeiro
Oleiros,Mera
Oleiros,Naval
Oleiros,Santa Cristina
Ortigueira,A Concha
Ortigueira,Morouzos
Ponteceso,A Ermida
Ponteceso,Balares
Ponteceso,Niñóns
Ponteceso,O Osmo
Ribeira,Coroso
Barreiros,Coto
Barreiros,Fontela Valea
Barreiros,A Pasada
Burela,A Marosa
Burela,O Portelo
Cervo,O Torno
Foz,A Rapadoira
Foz,Areoura
Foz,As Polas
Foz,Llas
Foz,Peizás
O Vicedo,Abrela
O Vicedo,Xilloi
Ribadeo,As Catedrais
Ribadeo,Os Castros-Illas
Viveiro,Area
Xove,Esteiro
A Veiga,A Veiga
A Veiga,Praia dos Franceses
A Guarda,Area Grande
A Guarda,O Muíño
A Illa de Arousa,Area da Secada
A Illa de Arousa,Bao (Camaxe)
Baiona,Barbeira
Baiona,Concheira
Baiona,Frades
Baiona,Ladeira
Baiona,Ribeira
Baiona,Santa Marta
Bueu,Area de Bon
Bueu,Lagos
Bueu,Lapamán
Bueu,Portomaior
Marín,Aguete
Marín,Loira
Marín,Mogor
Marín,Portocelo
Marín,Santo do Mar-A Coviña
Moaña,O Con
Poio,Cabeceira
Poio,O Laño
Poio,Xiorto
Ponte Caldelas,A Calzada
Sanxenxo,A Lapa
Sanxenxo,Agra
Sanxenxo,Areas
Sanxenxo,Areas Gordas
Sanxenxo,Baltar
Sanxenxo,Bascuas
Sanxenxo,Canelas
Sanxenxo,Caneliñas
Sanxenxo,Foxos
Sanxenxo,Major
Sanxenxo,Montalvo
Sanxenxo,Nosa Señora da Lanzada
Sanxenxo,O Espiñeiro
Sanxenxo,Pampido
Sanxenxo,Panadeira
Sanxenxo,Paxariñas
Sanxenxo,Pragueira
Sanxenxo,Silgar
Vigo,Argazada
Vigo,A Fontaíña
Vigo,A Punta
Vigo,Canido
Vigo,Carril
Vigo,Fortiñón
Vigo,O Adro
Vigo,O Mende
Vigo,O Vao
Vigo,Rodas
Vigo,Santa Baia
Vigo,Tombo do Gato
Vilagarcía de Arousa,Campanario
Vilagarcía de Arousa,Compostela
